Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MFM-223 cell	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	GPRC6A;TDRD1;RAB15;HSF4;OLIG2;ZNF345;ADAT3;SLC25A36;TMEM45A
RKO cell	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	GAS2L3;BBS10;SGMS2;OLIG2;UFSP1;SLC36A4;ADAT3;ZBTB2;TMEM110
RXF-393 cell	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	TRPA1;SLITRK6;TMCC1;SYT13;C1ORF52;PCDHA8;LOXL1;RAD54B;ADAMTS20
SIHN006	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	TMEM161A;RNF103;BBS10;EWSR1;FANCD2;AZI2;ACAD10;KRTAP19-5;ZBTB41
SW-620 cell	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	PPP1R15A;CCDC144B;CEBPD;SLITRK6;E2F4;SH2B3;ADAT3;ZBTB41;TRIM34
U2-OS cell	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	PGBD3;GAS2L3;SV2C;AEN;CMTM2;SH2B3;CKLF;ZBTB41;TTLL8
UPCI:SCC154	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	TMEM161A;SV2C;CEP164;SAG;MCM4;KRTAP19-5;CKLF;GPR137B;MAP4K3
UTSCC16A	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	SV2C;TNK2;NT5DC2;MYO6;FFAR2;INHBB;AZI2;KRTAP19-5;ZBTB41
amniocyte	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	ADAMTS14;JAG1;SPHKAP;COL11A1;SERPINE1;PDGFC;HN1;RPGRIP1L;ZBTB41
bile	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	RNF103;SV2C;LEPR;CMTM2;KRTAP19-5;CKLF;GPR137B;TP73;TMEM110
hES H9	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	RNF125;OSTM1;PDGFC;PCDHA5;PCNX;FFAR2;SYT13;SULT6B1;SH2B3
iPS DF19.11	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	ADCYAP1;OSTM1;PDGFC;TYRP1;PCDHA5;FFAR2;SYT13;PCDHA8;TTLL8
lymphoblastoid cell line	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	PPP1R15A;NRG1;TSPAN33;ALOXE3;ADAT3;EMID1;DGKI;ZBTB2;TRIM34
pancreas	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	GK5;FANCD2;TNK2;TYSND1;ZNF778;RPGRIP1L;E2F4;PDE6A;AZI2
thyroid gland	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	CMTM4;DNAJA3;MRPL19;GLT8D1;AP1S1;LRAT;CDH16;MRAP2;AP1M2
vitreous humor	9/301	0.22365201894559256	1.0	0	0	1.3529562093173584	2.0262737025902724	FBXL8;FCER1G;HBG2;VWF;TRADD;SERPINB9;SPTB;HOPX;NMRAL1
A-549 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	TSKS;GAS2L3;RNF103;CEBPD;PSEN2;KIF12;AEN;NRG1
CAL-33 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	FAM83H;RNF125;CEP164;HTT;MAPKAPK5;NADSYN1;SLC25A12;ACAD10
GaMG cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	PGBD3;C5ORF28;B3GNT5;TYRP1;KIF12;NRG1;SLC36A4;DGKI
HFE145	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	C6ORF211;FAM160A1;ITIH3;JAG1;CANT1;SERPINE1;TIMP2;CES2
HT-29 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	ZNF397;B4GALT3;ZNF778;ZNF77;ELMO3;LRP2;PCDHA8;TEAD1
HeLa-S3 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	PPP1R15A;PGBD3;TMEM179;GAS2L3;CEBPD;CCDC85A;TP73;TRIM34
KM-12 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	CCDC144B;B4GALT3;ARL5B;GPX2;VGF;TMEM208;ARMC7;RAD54B
MCF-10A cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	TSKS;GPRC6A;EFS;NRG1;SLC25A36;WDR66;ZBTB2;RAD54B
MDA-MB-453 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	EFS;RHBDD3;HSF4;PCNX;OLIG2;CMTM2;ZNF345;ZBTB2
OVCAR-3 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	CHCHD4;WDR36;CNTD2;GALNT3;CMTM4;CCDC85A;GLT8D1;PCDHA8
SCC-15 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	PRKAB2;TMEM161A;MYOD1;NT5DC2;CEP164;NDUFS2;FFAR2;MAP4K3
SCC9	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	DCC;MYOD1;RMND1;CEP164;OLIG2;MAP4K3;S100A7;TMEM110
SF-295 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	CYP2U1;FAM162B;RRAD;DCC;TRAFD1;TXNDC15;SLC36A4;CKLF
SK-MEL-28 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	C5ORF34;PDP2;RHBDD3;VGF;BAI3;ZNF778;HSPBAP1;ZBTB41
UACC-257 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	ITPKB;OSTM1;RHBDD3;TYRP1;PSEN2;CMTM2;GPR137B;ZBTB41
UT-SCC-14 cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	PRKAB2;TMEM161A;BBS10;MYOD1;AZI2;GPR137B;ZBTB41;WDR66
UTSCC76A	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	TMEM161A;SV2C;DCC;TNK2;NT5DC2;CEP164;AZI2;FAM83B
Unknown	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	B4GALT3;BRSK2;TRAFD1;FFAR2;AZI2;MCF2L2;ZBTB41;DLK1
adipocyte	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	PCDHA1;OSTM1;C14ORF180;PCDHA5;SAG;ZNF77;VWCE;PCDHA6
breast cancer cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	B4GALT3;TMEM161A;OSTM1;PDGFC;BAI3;SLITRK6;CKLF;ZBTB41
cycling crypt base columnar cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	C5ORF24;ADAMTS14;PDP2;SLC9A5;ALOX12B;PCDHA2;TXNDC15;WDR66
esophagus	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	FAM83H;FAM160A1;S100A7L2;PYROXD1;PCDHA9;TEAD1;UFSP1;DGKI
hES H1	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	LNP1;SLC9A5;KRTAP13-4;MYOD1;BAI3;FFAR2;KCNK1;ZNF345
hES H7	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	LNP1;TMEM179;RNF125;OSTM1;CEBPD;TYRP1;PCDHA2;MCF2L2
heart	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	TNRC6C;ADCYAP1;ADAMTS14;WDR36;STAR;ZNF271;BTBD10;CLGN
iPS DF6.9	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	PGBD3;GAS2L3;RNF125;PDP2;RAB15;ZNF57;SH2B3;ZBTB41
kidney	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	PPP1R15A;GK5;DCC;CMTM4;CDH16;TSPAN33;DGKI;TRIM34
osteosarcoma cell	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	ASPM;ARL5B;CYP2U1;ZNF326;MAPKAPK5;SGMS2;BTBD10;GNL3
prostate gland	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	JAG1;ZMAT2;NEK4;MUSTN1;ZNHIT6;RPGRIP1L;SOX6;FAM83B
uterine cervix	8/301	0.3485927740307886	1.0	0	0	1.2026277416154296	1.2673902973816218	PRPSAP1;WDR27;DOCK5;PRKAB2;FAM96B;MAPKAPK5;RIPK1;CHD1L
A-375 cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	GPRC6A;RNF103;CYP26C1;PCDHA4;TULP2;ZNF57;SULT6B1
B-lymphocyte	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	RNF125;ZNF271;TNK2;PRKCD;SERPINB9;AZI2;DAK
CAL-27 cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	TSKS;CYP26A1;TMEM116;DCC;LEPR;PCDH18;TTLL8
HCC-1599	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	GK5;GAS2L3;TMEM116;B3GNT5;SH2B3;ZBTB41;TTLL8
HCC-202	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	B4GALT3;RNF125;B3GNT5;GCG;RPGRIP1L;DGKI;SLC25A36
HMELonza	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	TDRD1;GRIA2;PDP2;SV2C;RAB15;PCDHA9;SLC36A4
HOP-62 cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	ITPKB;HAS2;ARMC7;PVRL3;GPR137B;IMPG1;CLGN
HOP-92 cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	SETD2;FAM162B;RRAD;DCC;ERCC6;CKLF;DLK1
HSC-4 cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	PRKAB2;TMEM179;TMEM161A;FANCD2;CEP164;GLT8D1;NDUFS2
MV4-11 cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	GRXCR1;PRKAB2;RNF103;MYOD1;AZI2;SLC36A4;MAP4K3
NFF	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	C5ORF34;RNF103;NEK4;PPP2R2C;PSEN2;PCDH18;KRTAP19-5
PBMC cell line	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	GAS2L3;CNTD2;ADAMTS18;MAP3K10;KRTAP19-5;TMEM110;C1ORF95
SAS cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	PRKAB2;TMEM161A;FANCD2;PRKCD;FAM96B;ACAD10;KRTAP19-5
SCC-4 cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	RPL5;TMEM161A;CYP26C1;NT5DC2;CEP164;ZNF345;KRTAP19-5
SK-MEL-5 cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	B4GALT3;C5ORF24;GAS2L3;RHBDD3;TULP2;ZBTB41;RAD54B
SR cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	C5ORF34;OSTM1;TYRP1;TXNDC15;EMID1;ZBTB41;ADAMTS20
UTSCC30	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	TMEM116;NT5DC2;MYO6;GLT8D1;SAG;AZI2;GPR137B
UTSCC73	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	TSKS;PRKAB2;TMEM161A;C5ORF34;SLC9A5;TNK2;AZI2
UTSCC87	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	FAM83H;TMEM161A;SV2C;TNK2;AZI2;MAP4K3;FAM83B
bone marrow stromal cell	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	FAM83H;IL4;CEBPD;COL11A1;BAHCC1;LOXL1;TRIM34
cerebral cortex	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	JAG1;CMTM4;LEPR;LILRB1;SYT13;ZBTB41;SLC25A36
rectum	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	BRAP;TMEM161A;CEP164;XPC;TULP2;RPGRIP1L;ERCC6
saliva	7/301	0.4991586977173609	1.0	0	0	1.0522992739135009	0.7311703696666295	FAM83H;PBRM1;MEF2B;RAD21;TCEB3B;PCDHA7;TMEM45A
A-498 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	B4GALT3;RNF103;RRAD;DCC;ZNF778;TMEM208
ACHN cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	SETD2;FABP3;CMTM3;RRAD;TMEM208;GPR137B
BICR56	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	COPS3;TMEM161A;RNF103;CEP164;NDUFS2;RAB7A
BT-474 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	ITPKB;TDRD1;RNF103;EFS;RAB15;MAP4K3
CCRF-CEM cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	GK5;RNF138;TMEM116;RHOH;RFXANK;ADAMTS20
Colo-205 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	KRTAP13-4;MYOD1;PDE6A;ZNF57;MRAP2;BAHCC1
EKVX cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	RDM1;SENP6;PCNX;CTDSPL;ARMC7;CDH19
HCC-2218	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	ITPKB;TNRC6C;C16ORF70;RNF103;CMTM4;ZBTB2
HCC-2998 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	ZNF271;B3GNT5;CFHR5;ZNF778;TEAD1;IMPG1
HEK-293 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	TMEM179;C5ORF34;RNF103;S100A7L2;PCDHA5;TP73
Kasumi-1 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	GRXCR1;BRSK2;RNF103;OLIG2;ZNF345;DLK1
LOX-IMVI cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	FAM160A1;STEAP3;MYOD1;SERPINE1;BCL10;TEAD1
MALME-3M cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	C5ORF34;VGF;CTDSPL;ARMC7;DIRC2;TMEM110
MDA-MB-231 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	ACHE;TMEM116;MYOD1;ARMC7;PCDH18;EMID1
MDA-MB-435 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	PBRM1;RNF103;CMTM3;AIFM2;OLIG2;SLC25A46
MOLT-4 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	GPRC6A;TNRC6C;RHOH;ARMC7;C1ORF52;CLGN
NCI-H460 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	GK5;B4GALT3;PDP2;FAM162B;CMTM4;TMEM208
OSC19	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	GPRC6A;RNF103;NT5DC2;CEP164;KRTAP19-5;CDH19
OSC20	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	GPRC6A;TMEM161A;RNF103;CEP164;KRTAP19-5;MAP4K3
RCC 786-O cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	STEAP3;RRAD;TYSND1;PCDHA8;KRTAP19-5;REPS1
SCC-25 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	ASPM;ALDH2;CEP164;GLT8D1;OLIG2;NADSYN1
SK-N-BE(2) cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	ADAMTS4;KRTAP13-4;ZNF271;RAB15;GDAP1L1;ARMC7
SKOV-3 cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	B4GALT3;TMEM208;NRG1;PVRL3;KCNK1;ZBTB41
U-251 MG cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	B4GALT3;JAG1;OSTM1;TMCC1;CKLF;ZBTB41
UPCI:SCC016	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	TMEM179;HSF4;SAG;ZNF345;KRTAP19-5;ZBTB41
UPCI:SCC040	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	PRKAB2;FANCD2;MYOD1;CMTM2;CKLF;CDH19
UTSCC10	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	TMEM161A;NT5DC2;AZI2;ZNF345;KRTAP19-5;MAP4K3
UTSCC21	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	TMEM161A;AZI2;SLC36A4;GPR137B;MAP4K3;TMEM110
blood	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	MYOD1;ZNF77;KRTAP19-5;SLC36A4;CKLF;GPR137B
bone	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	ARL5B;FANCD2;PDGFC;SYT13;DIRC2;ZBTB41
breast	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	TMEM161A;PDP2;XPC;NUPL2;TXNDC15;RGS9
cervical epithelium	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	TYRP1;ZNF77;SYT13;SULT6B1;ALOXE3;GPR137B
cervical mucosa	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	IL4;PDGFC;TYRP1;SYT13;SULT6B1;MCF2L2
chronic lymphocytic leukemia cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	PDGFC;TYRP1;PCDHA5;OLIG2;SYT13;SLC36A4
mesenchymal stem cell	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	RDM1;ADAMTS4;PCDHA1;COL11A1;ALOX12B;LOXL1
nasopharynx	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	RDM1;ADAMTS14;BRSK2;AIFM2;RAB15;TTC9B
pancreatic juice	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	GK5;USP21;COL11A1;PSEN2;TMCC1;SGMS2
proximal fluid (coronary sinus)	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	PPP2R2C;ADAMTS18;SLITRK6;TCEB3B;PCDH18;SSTR3
skin	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	ZCWPW2;SENP6;C16ORF70;SPCS1;TRAFD1;PKP4
tonsil	6/301	0.6570152937975692	1.0	0	0	0.9019708062115722	0.3788710174571291	SLC12A2;GPX2;GALNT3;LEPR;PDE6A;CDH19
DU-145 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	B4GALT3;RNF103;PCNX;TULP2;NUPL2
HCT-15 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	CYP26C1;CFHR5;RPGRIP1L;E2F4;S100A7
HES-3	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	CNTD2;SPHKAP;CCDC85A;GDAP1L1;PCDHA4
HL-60 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	TMEM179;RNF103;HSF4;TMEM208;CKLF
HMT-3522 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	TDRD1;ACHE;SLC9A5;ZNF57;LOXL1
JURKAT E-6.1 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	DDB1;RNF125;RNF103;PRKDC;TLE6
MCF-7 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	CYP26C1;HSF4;OLIG2;SLC36A4;ZBTB41
MCF-7/adr cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	DCC;HSF4;TMEM208;RPGRIP1L;CKLF
Mixed	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	CNTD2;MYOD1;PCDHA4;MAP3K10;KRTAP19-5
NCI-H292 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	TNRC6C;GRXCR1;MYOD1;ALOX12B;SLC36A4
OVCAR-4 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	GK5;CNTD2;HSF4;HAS2;RAD54B
OVCAR-8/ADR cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	ZNF271;FNTB;BAI3;ARMC7;ADAMTS20
SIHN005A	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	CEP164;MAP4K3;AP1M2;ZBTB41;REPS1
SNB-75 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	NRBP2;JAG1;COL11A1;ZNF778;WDR66
SW-480 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	PPP1R15A;C5ORF24;SH2B3;ADAT3;TRIM34
THP-1 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	TMEM179;RNF103;OLIG2;SLC36A4;TMEM110
TK-10 cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	CEP164;CTDSPL;ARMC7;CDH16;MAP4K3
UPCI:SCC103	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	TMEM179;RNF103;NT5DC2;GPR137B;ZBTB41
UPCI:SCC122	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	RNF103;CEP164;NDUFS2;AZI2;ZBTB41
UT-SCC-24A cell	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	TMEM161A;CEP164;GLT8D1;CHD1L;AZI2
UTSCC40	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	TSKS;TMEM161A;SV2C;CKLF;CDH19
cerebrospinal fluid	5/301	0.7980625596679234	1.0	0	0	0.7516423385096436	0.16954667626107683	VGF;TYRP1;SYT13;SULT6B1;GALNT9
